"Date","Conservative","Labour","Liberal Democrats","SDP","SNP","Plaid","Reform","UKIP","Green"
"2024-12-04","26.06890","28.19731","12.14088",,"2.62150",,"19.38748",,"7.87017"
"2024-11-29","25.97871","28.53786","12.27580",,"2.54791",,"19.01302",,"7.72082"
"2024-11-28","25.99675","28.55878","12.57162",,"2.47792",,"18.88387",,"7.58302"
"2024-11-27","26.05506","28.39988","12.54246",,"2.47792",,"19.03984",,"7.65445"
"2024-11-21","26.14142","28.33207","12.57896",,"2.49795",,"18.94519",,"7.63860"
"2024-11-18","26.42248","28.15104","12.48289",,"2.53527",,"19.10616",,"7.68137"
"2024-11-14","26.67590","27.82686","12.56041",,"2.44016",,"19.20821",,"7.61322"
"2024-11-13","27.08221","27.44771","12.60609",,"2.32830",,"19.15651",,"7.53006"
"2024-11-11","27.48957","27.14361","12.66833",,"2.32618",,"18.92950",,"7.52440"
"2024-11-07","27.75436","26.69556","12.80325",,"2.32474",,"18.84436",,"7.44720"
"2024-11-01","27.99946","26.37483","12.85507",,"2.39196",,"18.81915",,"7.50742"
"2024-10-31","28.26395","26.21359","12.70373",,"2.38984",,"18.87714",,"7.50177"
"2024-10-24","28.74598","25.50640","12.62734",,"2.46856",,"19.04193",,"7.44986"
"2024-10-18","29.41265","25.16657","12.56456",,,,"18.98348",,"7.52706"
"2024-10-17","30.26979","24.52371","12.49314",,,,"18.76920",,"7.45563"
"2024-10-13","31.26979","23.95228","12.35028",,,,"18.55491",,"7.59849"
"2024-10-10","30.96356","24.62054","12.13200",,,,"18.33759",,"7.57571"
"2024-10-07","30.41233","25.52546","12.00589",,,,"18.08774",,"7.57753"
"2024-10-04","29.94884","26.45442","11.95420",,,,"17.79619",,"7.45267"
"2024-10-03","29.42648","27.50853","11.91721",,,,"17.32413",,"7.18237"
"2024-09-26","28.74449","28.76129","11.76826",,,,"17.07922",,"6.96481"
"2024-09-25","27.94319","29.99322","11.68528",,,,"16.87931",,"6.89095"
"2024-09-19","27.30194","30.98776","11.59564",,,,"16.75140",,"6.74305"
"2024-09-12","26.37648","32.42955","11.45942",,,,"16.65935",,"6.65905"
"2024-08-29","25.63906","33.47901","11.42884",,,,"16.49237",,"6.54564"
"2024-08-08","24.93997","34.58818","11.40233",,,,"16.24014",,"6.40702"
"2024-08-07","24.39188","36.10233","11.33868",,,,"15.82642",,"6.19839"
"2024-07-26","23.41831","37.28407","11.19079",,,,"15.62223",,"6.12303"
"2024-07-12","22.25503","38.54668","11.26832",,,,"15.69679",,"6.01998"
"2024-07-03","20.95001","40.03858","11.19871",,"2.81189","0.56506","15.81833",,"5.81598"
"2024-07-02","20.91038","40.08959","11.28275",,"2.79609","0.57255","15.80819",,"5.77289"
"2024-07-01","20.98264","40.42769","11.27534",,"2.76387","0.56805","15.65311",,"5.66490"
"2024-06-30","21.08833","40.50877","11.14344",,"2.75266","0.49102","15.79262",,"5.61359"
"2024-06-29","20.93456","40.75014","11.20240",,"2.67982","0.56638","15.77874",,"5.73566"
"2024-06-28","20.79311","40.60634","11.28758",,"2.66564","0.58006","15.81899",,"5.89092"
"2024-06-27","20.87360","40.74997","11.23661",,"2.70090","0.54045","15.80861",,"5.88996"
"2024-06-26","20.91834","40.78485","11.24423",,"2.70810","0.51668","15.70230",,"5.94148"
"2024-06-25","20.90887","40.92679","11.11982",,"2.68960","0.50876","15.62490",,"6.02227"
"2024-06-24","21.38682","41.21213","10.86875",,"2.73237","0.47957","15.37962",,"5.88887"
"2024-06-23","21.49489","41.61696","10.70257",,"2.79422","0.51974","15.16277",,"5.82616"
"2024-06-21","21.42772","41.83040","10.68705",,"2.84024","0.56477","14.93816",,"5.84009"
"2024-06-20","21.54552","41.94442","10.67474",,"2.82120","0.52472","14.93882",,"5.74326"
"2024-06-19","21.75151","42.13573","10.46555",,"2.88371","0.48224","14.75185",,"5.75548"
"2024-06-18","21.76464","42.18508","10.40310",,"2.94946","0.53604","14.45014",,"5.88397"
"2024-06-17","22.06302","42.63904","10.17930",,"2.92989","0.55155","13.99483",,"5.83876"
"2024-06-16","22.41852","42.69116","10.12723",,"2.94639","0.54917","13.75022",,"5.73055"
"2024-06-14","22.47268","42.82783","10.19703",,"2.97382",,"13.28749",,"5.86641"
"2024-06-13","22.65742","42.98741","9.97081",,"3.02764",,"13.16221",,"5.86543"
"2024-06-12","22.84092","43.33482","9.72990",,"2.98766",,"12.92131",,"5.84913"
"2024-06-11","23.22624","43.50069","9.61378",,"2.96088",,"12.58233",,"5.81945"
"2024-06-10","23.14425","43.85622","9.34021",,"3.07782",,"12.34880",,"5.84802"
"2024-06-09","23.29812","44.06755","9.39955",,"3.09968",,"11.96444",,"5.70479"
"2024-06-08","23.45534","44.12491","9.41510",,"3.09830",,"11.68763",,"5.67708"
"2024-06-07","23.72522","43.85753","9.43537",,"3.02231",,"11.59067",,"5.71418"
"2024-06-06","23.75700","43.83904","9.40776",,"3.01877",,"11.60648",,"5.80892"
"2024-06-05","23.88293","44.00621","9.45593",,"3.00553",,"11.37275",,"5.76286"
"2024-06-04","23.88656","44.31550","9.42250",,"2.95261",,"11.05826",,"5.73987"
"2024-06-03","24.01934","44.52813","9.47606",,"2.88473",,"10.94423",,"5.52613"
"2024-06-02","24.09008","44.36364","9.52141",,"2.89179",,"10.97811",,"5.50579"
"2024-06-01","23.98667","44.37968","9.43575",,"2.88249",,"10.92492",,"5.74326"
"2024-05-31","23.71552","44.60835","9.32058",,"2.82771",,"11.08788",,"5.76480"
"2024-05-30","23.39884","44.35025","9.51690",,"2.84673",,"10.89896",,"6.12252"
"2024-05-29","23.66174","44.38105","9.46192",,"2.85750",,"10.70264",,"6.18338"
"2024-05-28","23.40492","44.29779","9.63445",,"2.87251",,"10.77483",,"6.11134"
"2024-05-27","23.67042","44.27712","9.75909",,"2.71038",,"10.58616",,"6.08822"
"2024-05-26","23.59434","44.19635","9.81752",,"2.64053",,"10.71140",,"6.16323"
